Store,Item,Required
A,1,47
A,2,29
A,3,50
A,4,12
A,5,19
A,6,72
A,7,71
A,8,2
A,10,40
B,2,46
B,3,36
B,4,7
B,5,48
B,6,71
B,7,19
B,10,4
C,1,34
C,2,52
C,3,66
C,4,17
C,6,3
C,7,57
C,8,77
C,10,13
D,2,1
D,3,76
D,4,46
D,6,21
D,7,40
D,10,41
E,1,44
E,2,14
E,5,75
E,6,32
E,7,14
E,8,76
E,10,42
F,1,71
F,2,28
F,3,46
F,4,54
F,5,9
F,6,52
F,7,43
F,8,33
F,9,59
F,10,16
G,1,60
G,2,2
G,3,51
G,4,66
G,5,47
G,6,28
G,7,66
G,9,30
G,10,55
H,1,11
H,2,69
H,3,5
H,4,41
H,5,54
H,7,28
H,8,57
H,9,17
H,10,36
I,2,6
I,4,73
I,5,43
I,6,3
I,7,70
I,8,70
I,9,16
I,10,17
J,1,71
J,2,35
J,4,5
J,5,79
J,6,9
J,7,38
J,9,55
J,10,72
K,1,44
K,2,13
K,3,63
K,4,73
K,6,62
K,7,61
K,8,20
K,10,25
L,1,26
L,3,10
L,4,35
L,5,62
L,6,16
L,7,73
L,8,35
L,9,78
L,10,33
M,2,12
M,3,23
M,4,55
M,5,46
M,6,9
M,7,4
M,8,8
M,9,76
M,10,60
N,2,9
N,4,29
N,5,12
N,6,4
N,7,36
N,8,3
N,10,8
O,1,15
O,2,35
O,5,30
O,6,43
O,8,78
O,9,48
O,10,64
P,2,60
P,3,33
P,4,5
P,5,9
P,6,27
P,7,62
P,8,71
P,9,30
P,10,50
Q,2,22
Q,3,32
Q,4,11
Q,5,4
Q,6,46
Q,7,69
Q,8,46
Q,9,12
Q,10,53
R,2,76
R,3,15
R,4,13
R,5,69
R,6,41
R,7,49
R,8,50
R,10,9
S,1,23
S,2,9
S,4,27
S,5,31
S,6,31
S,7,17
S,8,69
S,9,53
S,10,21
T,1,19
T,2,66
T,3,76
T,4,56
T,5,78
T,6,53
T,7,62
T,8,2
T,9,12
U,1,71
U,2,54
U,4,3
U,5,54
U,6,3
U,7,48
U,8,6
V,1,65
V,2,30
V,3,4
V,4,12
V,5,50
V,7,37
V,8,10
V,9,76
W,1,76
W,2,68
W,3,10
W,4,48
W,5,65
W,7,60
W,8,15
W,9,31
X,1,8
X,2,49
X,3,57
X,4,23
X,5,25
X,7,39
X,8,45
X,9,68
Y,1,6
Y,2,47
Y,4,1
Y,5,26
Y,6,64
Y,7,33
Y,8,41
Y,9,33
Y,10,7
Z,1,60
Z,2,25
Z,3,39
Z,4,45
Z,5,75
Z,6,18
Z,7,18
Z,8,25
Z,9,2
Z,10,10
